"","LMA_gDW_m2.9.comps"
"Wave_1234",0.0402650230474617
"Wave_1235",0.0410532327752551
"Wave_1236",0.0476231803790221
"Wave_1237",0.0422210736531953
"Wave_1238",0.0433704421332265
"Wave_1239",0.0512018633205187
"Wave_1240",0.0496448644884769
"Wave_1241",0.0547894337915477
"Wave_1242",0.0497616295037788
"Wave_1243",0.0422175782060242
"Wave_1244",0.042544042930991
"Wave_1245",0.0480924441179319
"Wave_1246",0.0469041507128219
"Wave_1247",0.046147681343107
"Wave_1248",0.0522118293703676
"Wave_1249",0.050926412326893
"Wave_1250",0.0463417707403147
"Wave_1251",0.0347387602896885
"Wave_1252",0.0436185957482179
"Wave_1253",0.0442291028732084
"Wave_1254",0.0451146131504753
"Wave_1255",0.0466960455538094
"Wave_1256",0.0387675400973019
"Wave_1257",0.0438469961663136
"Wave_1258",0.0529742135162217
"Wave_1259",0.0474847070291112
"Wave_1260",0.0602636921903389
"Wave_1261",0.0594777633227743
"Wave_1262",0.0521724073419273
"Wave_1263",0.0522398579722041
"Wave_1264",0.0452124375422262
"Wave_1265",0.0434569606488799
"Wave_1266",0.0388857333300859
"Wave_1267",0.0373966768455161
"Wave_1268",0.0351824987475197
"Wave_1269",0.0379141053780814
"Wave_1270",0.0353863635810017
"Wave_1271",0.0327926095850214
"Wave_1272",0.0332465728549715
"Wave_1273",0.0369648382356166
"Wave_1274",0.0497148823861875
"Wave_1275",0.0474778252857259
"Wave_1276",0.0483318124410767
"Wave_1277",0.0521068519433538
"Wave_1278",0.0515482500097282
"Wave_1279",0.0658817566113953
"Wave_1280",0.0685440408338325
"Wave_1281",0.0658912274932082
"Wave_1282",0.0760019671956065
"Wave_1283",0.0799930790522749
"Wave_1284",0.0803156735508758
"Wave_1285",0.0841710968778295
"Wave_1286",0.0861790462201158
"Wave_1287",0.0873042219242852
"Wave_1288",0.0940002353571317
"Wave_1289",0.109452187161892
"Wave_1290",0.116767412257748
"Wave_1291",0.115809132573644
"Wave_1292",0.119796148738101
"Wave_1293",0.125635074336395
"Wave_1294",0.128982119622863
"Wave_1295",0.139247775786062
"Wave_1296",0.136234935882555
"Wave_1297",0.139033090319657
"Wave_1298",0.141051451772144
"Wave_1299",0.145246327662794
"Wave_1300",0.148187930487393
"Wave_1301",0.150244242033106
"Wave_1302",0.160193504574343
"Wave_1303",0.160491619695843
"Wave_1304",0.172975612698227
"Wave_1305",0.179910740589075
"Wave_1306",0.181225126288253
"Wave_1307",0.18083187667689
"Wave_1308",0.185073800185799
"Wave_1309",0.18411655040978
"Wave_1310",0.184025786170823
"Wave_1311",0.180292323425487
"Wave_1312",0.187434699101214
"Wave_1313",0.186373924392855
"Wave_1314",0.182495421206374
"Wave_1315",0.179138776314942
"Wave_1316",0.178494443381418
"Wave_1317",0.169387710936667
"Wave_1318",0.16967042722977
"Wave_1319",0.181605893747994
"Wave_1320",0.185179193639633
"Wave_1321",0.186299338638017
"Wave_1322",0.190274581051046
"Wave_1323",0.193631724550905
"Wave_1324",0.190697133299454
"Wave_1325",0.184924668999791
"Wave_1326",0.172627271337183
"Wave_1327",0.173117220310475
"Wave_1328",0.176051549571838
"Wave_1329",0.172459380343834
"Wave_1501",0.0333728937020109
"Wave_1502",0.0274085948112315
"Wave_1503",0.0228304047881513
"Wave_1504",0.0120966549291461
"Wave_1505",0.00724478743199576
"Wave_1506",-0.000653692032993564
