"","Jmax25_Rog.13.comps"
"Wave_1331",-0.0245362885935757
"Wave_1332",-0.00493668739518047
"Wave_1333",0.0239791171607547
"Wave_1334",0.0538587653022049
"Wave_1335",0.0643554933252038
"Wave_1336",0.0643306696556237
"Wave_1337",0.0453692433372365
"Wave_1338",0.0164197802911211
"Wave_1339",-0.014189362467567
"Wave_1340",-0.0372575260052267
"Wave_1341",-0.0801517055278732
"Wave_1342",-0.116080632764118
"Wave_1343",-0.14650046666425
"Wave_1344",-0.159897239647606
"Wave_1345",-0.181120366121461
"Wave_1346",-0.222054884312823
"Wave_1347",-0.258495831121705
"Wave_1348",-0.323284404354109
"Wave_1349",-0.368745178712291
"Wave_1350",-0.396313763297678
"Wave_1351",-0.423037122387214
"Wave_1352",-0.409617305281159
